sample_id	beer	country	brewery  project_id
SRR13187254	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187255	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187256	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187257	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187258	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187259	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555 
SRR13187260	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187261	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187262	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187263	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187264	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187265	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187266	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187267	Blond Beer (8.88%)	Belgium	unkown  PRJNA681555
SRR13187268	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187269	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187270	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187271	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187272	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187273	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187274	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187275	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187276	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187277	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR13187278	Stout Beer (9.64%)	Belgium	unkown  PRJNA681555
SRR14325452	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325453	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325454	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325455	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325456	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325457	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325748	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325749	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325750	Rubi Marzen Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325751	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325752	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR14325753	Extra Doppelbock Lager	Portugal	Essencia DAlma craft brewery  PRJNA725177
SRR5740340	Celsius Folamour	Switzerland	Brasserie dAyent  PRJNA388541
SRR5740341	Biere de Zinal	Switzerland	Brasserie des 5 quatre mille  PRJNA388541
SRR5740342	Ambrée des Brigands du Jorat	Switzerland	Brasserie Du Jorat  PRJNA388541
SRR5740343	BE	Switzerland	Bieraria Tschlin  PRJNA388541
SRR5740344	La Prudencia	Switzerland	Brasserie du Vieux Chemin  PRJNA388541
SRR5740345	Blanche	France	Brasserie Gessienne  PRJNA388541
SRR5740346	La Fourbe	Switzerland	Brasserie du Griffon  PRJNA388541
SRR5740347	BioLegere	Belgium	Brasserie DuPont  PRJNA388541
SRR5740348	La Salamandre	Switzerland	BFM  PRJNA388541
SRR5740349	Noire	Switzerland	Brasserie Sierrvoise  PRJNA388541
SRR5740350	Tardiv	Switzerland	Brasserie Tardiv  PRJNA388541
SRR5740351	Pieuse	Switzerland	Les Murailles  PRJNA388541
SRR5740352	Chimay Red Cap	Belgium	Chimay  PRJNA388541
SRR5740353	Tripel	Belgium	Chimay  PRJNA388541
